"User_id"; "Class"; "ServerTime"; "Iteraction"; "Name"; "Piece"; "Target"; "Coordinates(cd1)"; "Timestamp(cd2)"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:57"; "Player"; "MovementStart"; NULL; NULL; "-43,69125|-2,980232E-07|98,98398"; "177"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:58"; "Player"; "MovementEnd"; NULL; NULL; "-46,14277|0|99,13492"; "178"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:58"; "Player"; "MovementStart"; NULL; NULL; "-46,08236|-1,788139E-07|99,13816"; "178"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:00"; "Player"; "MovementEnd"; NULL; NULL; "-43,408|-1,192093E-07|101,3634"; "179"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:00"; "Player"; "MovementStart"; NULL; NULL; "-43,44053|0|101,317"; "179"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:01"; "Player"; "TrackStats"; NULL; NULL; "-43,64423|-5,960464E-08|99,24963"; "180"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:01"; "Player"; "MovementEnd"; NULL; NULL; "-43,64516|0|99,25173"; "180"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:01"; "Player"; "MovementStart"; NULL; NULL; "-43,54225|-1,192093E-07|99,21725"; "181"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:02"; "Player"; "MovementEnd"; NULL; NULL; "-43,36736|-1,788139E-07|99,203"; "181"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:06"; "Player"; "TrackStats"; NULL; NULL; "-43,27924|-1,192093E-07|99,20398"; "185"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:11"; "Player"; "TrackStats"; NULL; NULL; "-43,37286|-2,384186E-07|99,12906"; "190"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:12"; "Player"; "MovementStart"; NULL; NULL; "-43,49295|-1,192093E-07|99,14835"; "191"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:13"; "Player"; "MovementEnd"; NULL; NULL; "-45,53897|-1,788139E-07|99,40524"; "192"
"255f7c"; "COMMANDO"; "2021-09-02 07:08:13"; "Player"; "MovementStart"; NULL; NULL; "-45,47182|-1,192093E-07|99,40684"; "192"
